X,Y,OBJECTID,PAVADIN,GATVE,KRYPTIS,NUORODA,Troleibusai,Autobusai,Naktiniai_autobusai,WiFi,ID
25.2972767109034,54.6745974915926,7999,Gervėčių st.,,,http://stops.lt/0418,,,,,0418
25.2988227704665,54.6733633417667,8000,Gervėčių st.,,,http://stops.lt/0419,,,,,0419
25.2971985585889,54.6765842053464,8001,Misionierių st.,,,http://stops.lt/0420,,,,,0420
25.2965202744942,54.6766184230471,8002,Misionierių st.,,,http://stops.lt/0421,,,,,0421
25.3036161916826,54.6770050555216,8003,Subačiaus st.,,,http://stops.lt/0422,,,,,0422
25.3024895648018,54.6772328330102,8004,Subačiaus st.,,,http://stops.lt/0423,,,,,0423
25.3105331484844,54.6783906416927,8005,„Audėjas“,,,http://stops.lt/0424,,,,,0424
25.2926599936337,54.6799080579296,8006,Užupio st.,,,http://stops.lt/0426,,,,,0426
25.2923585526711,54.6799382310536,8007,Užupio st.,,,http://stops.lt/0427,,,,,0427
25.2929734199241,54.6821152343142,8008,Dailės akademija,,,http://stops.lt/0429,,,,,0429
25.2928566997085,54.6838103130728,8009,Dailės akademija,,,http://stops.lt/0430,,,,,0430
25.2902539462068,54.6847231615651,8010,Bernardinų sodas,,,http://stops.lt/0431,,,,,0431
25.2911012402767,54.6849702332767,8011,Bernardinų sodas,,,http://stops.lt/0432,,,,,0432
25.3007625500221,54.6812051679455,8012,Užupis,,,http://stops.lt/0433,,,,,0433
25.3053752899932,54.6814476020044,8013,Bernardinų kapinės,,,http://stops.lt/0434,,,,,0434
25.3119801301587,54.6819962915774,8014,Bernardinų st.,,,http://stops.lt/0435,,,,,0435
25.3126560966536,54.6826988548105,8015,Polocko st.,,,http://stops.lt/0436,,,,,0436
25.3091670988598,54.6847314651014,8016,Filaretų st.,,,http://stops.lt/0437,,,,,0437
25.3056214054454,54.6873037350206,8017,Krivių st.,,,http://stops.lt/0438,,,,,0438
25.3047105076347,54.6913032670997,8018,Vasaros st.,,,http://stops.lt/0439,,,,,0439
25.2890220009749,54.6881823441315,8019,Karaliaus Mindaugo tiltas,,,http://stops.lt/0441,,,,,0441
25.2681979123596,54.6819682199086,8020,Algirdo st,,,http://stops.lt/0501,,,,,0501
25.2664003257471,54.6814523641014,8021,Algirdo st,,,http://stops.lt/0502,,,,,0502
25.2652553298027,54.6820349253913,8022,Mikalojaus Konstantino Čiurlionio st.,,,http://stops.lt/0503,,,,,0503
25.2654832400615,54.6808239520685,8023,Mikalojaus Konstantino Čiurlionio st.,,,http://stops.lt/0504,,,,,0504
25.2647114835731,54.6815958048141,8024,Mikalojaus Konstantino Čiurlionio st.,,,http://stops.lt/0505,,,,,0505
25.2593166069651,54.6794684403001,8025,Simono Konarskio st.,,,http://stops.lt/0506,,,,,0506
25.2596447070087,54.6798604058679,8026,Simono Konarskio st.,,,http://stops.lt/0507,,,,,0507
25.2555537129849,54.6775395969362,8027,Vingis,,,http://stops.lt/0508,,,,,0508
25.2543761293529,54.6771923612306,8028,Vingis,,,http://stops.lt/0509,,,,,0509
25.2671799736906,54.678694549884,8029,Taraso Ševčenkos st.,,,http://stops.lt/0510,,,,,0510
25.2674887331761,54.6769390833402,8030,Taraso Ševčenkos st.,,,http://stops.lt/0511,,,,,0511
25.2679203176379,54.674243310245,8031,Švitrigailos st.,,,http://stops.lt/0512,,,,,0512
25.2660709490439,54.6734224742001,8032,Vytenio st.,,,http://stops.lt/0513,,,,,0513
25.2623260890302,54.6718485925713,8033,Vytenio st.,,,http://stops.lt/0514,,,,,0514
25.2556525970237,54.6727356507354,8034,Statybininkų st.,,,http://stops.lt/0515,,,,,0515
25.2597766413425,54.6704800505358,8035,Naugarduko st.,,,http://stops.lt/0516,,,,,0516
25.261210279993,54.6704269727746,8036,Naujamiestis,,,http://stops.lt/0517,,,,,0517
25.2626036825155,54.6704888389095,8037,Naujamiestis,,,http://stops.lt/0518,,,,,0518
25.2684691519365,54.6717979101748,8038,„Sparta“,,,http://stops.lt/0519,,,,,0519
25.2693166809777,54.6726247169241,8039,„Sparta“,,,http://stops.lt/0520,,,,,0520
25.2702247966074,54.6719143037465,8040,„Sparta“,,,http://stops.lt/0521,,,,,0521
25.2695484559134,54.6711081741093,8041,„Sparta“,,,http://stops.lt/0522,,,,,0522
25.2636870846658,54.6681502110584,8042,"""Lelija""",,,http://stops.lt/0523,,,,,0523
25.2600521045674,54.6674152904349,8043,Smolensko st.,,,http://stops.lt/0525,,,,,0525
25.2591057309461,54.667142076047,8044,Smolensko st.,,,http://stops.lt/0526,,,,,0526
25.2528728675475,54.6667394315144,8045,Burbiškės,,,http://stops.lt/0527,,,,,0527
25.2813109024971,54.7563314376421,8046,Vaikų ligoninė,,,http://stops.lt/2123,,,,,2123
25.318787211613,54.6749044146275,8047,Paplaujos st.,,,http://stops.lt/1205,,,,,1205
25.2671130817978,54.6696689774486,8048,"""Lelija""",,,http://stops.lt/0531,,,,,0531
25.2582777776327,54.669916665219,8049,Migracijos valdyba,,,http://stops.lt/0535,,,,,0535
25.2519358384732,54.6748947671183,8050,Žemaitės st.,,,http://stops.lt/0601,,,,,0601
25.2469771903559,54.6734101261039,8051,Savanorių prospektas,,,http://stops.lt/0603,,,,,0603
25.2419551074859,54.6708011134174,8052,Gerosios Vilties st.,,,http://stops.lt/0606,,,,,0606
25.2415939048218,54.6703959611517,8053,Gerosios Vilties st.,,,http://stops.lt/0607,,,,,0607
25.2357084689409,54.6693508786977,8054,Eigulių st.,,,http://stops.lt/0608,,,,,0608
25.239432595408,54.6727993303666,8055,Vingio parkas,,,http://stops.lt/0609,,,,,0609
25.241992353285,54.6740535947108,8056,Vingio parkas,,,http://stops.lt/0610,,,,,0610
25.245786496238,54.6768766220484,8057,Vinco Pietario st.,,,http://stops.lt/0611,,,,,0611
25.2573740001445,54.6712659982838,8058,Statybininkų st.,,,http://stops.lt/0612,,,,,0612
25.2698721606002,54.7047656610174,8059,Linkmenų st.,,,http://stops.lt/0701,,,,,0701
25.2719677137167,54.7045415069966,8060,Linkmenų st.,,,http://stops.lt/0702,,,,,0702
25.2824881673234,54.6993132222778,8061,Kalvarijų turgus,,,http://stops.lt/0703,,,,,0703
25.2830133770955,54.7001927664281,8062,Kalvarijų turgus,,,http://stops.lt/0704,,,,,0704
25.2834935540934,54.6702468666619,8063,Stotis,,,http://stops.lt/0530K,,,,,0530K
25.2698671232755,54.6915970168162,8064,Vašingtono aikštė,,,http://stops.lt/223,,,,,223
25.2844322929421,54.6710995605525,8065,Stotis,,,http://stops.lt/0530B,,,,,0530B
25.248598861369,54.6740306205326,8066,Savanorių prospektas,,,http://stops.lt/0602a,,,,,0602a
25.4132431998134,54.6879833998042,8067,Genių st.,,,http://stops.lt/2349,,,,,2349
25.0930935833941,54.670465437583,8068,Kunigiškių st.,,,http://stops.lt/4102,,,,,4102
25.3477571257258,54.786041630912,8069,Balsiai st.,,,http://stops.lt/2263,,,,,2263
25.3039561335743,54.6539211365265,8070,Žirnių st.,,,http://stops.lt/4001,,,,,4001
25.1006762522424,54.6683300859654,8071,Salos,,,http://stops.lt/4104,,,,,4104
25.3612456199264,54.6711234929642,8072,Pavilnys,,,http://stops.lt/1409,,,,,1409
25.3643965104168,54.6588851086387,8073,Šumsko kryptis,,,http://stops.lt/1427,,,,,1427
25.4261047783904,54.685496349937,8074,Parko st.,,,http://stops.lt/2355,,,,,2355
25.2803061793011,54.7528645679688,8075,Santariškės,,,http://stops.lt/2122,,,,,2122
25.359464968094,54.6680613057225,8076,Grūdų st.,,,http://stops.lt/1407,,,,,1407
25.244837518752,54.7169000455075,8077,Musninkų st.,,,http://stops.lt/1933,,,,,1933
25.1356617286827,54.6375995042984,8078,Šešėlių st.,,,http://stops.lt/2916,,,,,2916
25.0895117757655,54.6720166837611,8079,Grigiškės st.,,,http://stops.lt/4105,,,,,4105
25.3418671678163,54.6633107466941,8080,Guriai,,,http://stops.lt/1402,,,,,1402
25.268919053636,54.6998334542829,8081,Šnipiškės,,,http://stops.lt/0115,,,,,0115
25.3984355583495,54.6963144547682,8082,Alberto Kojelavičiaus st.,,,http://stops.lt/2324,,,,,2324
25.2495436301986,54.6274022954238,8083,Eišiškių sodai,,,http://stops.lt/2702,,,,,2702
25.2537221593408,54.6343501202802,8084,Dilgynė st.,,,http://stops.lt/2628,,,,,2628
25.2702633965921,54.7570496921183,8085,Jono Kairiūkščio st.,,,http://stops.lt/2109,,,,,2109
25.3222016262496,54.6744044270936,8086,Markučiai,,,http://stops.lt/1206,,,,,1206
25.3381131826135,54.7773872557697,8087,Verkių Riešė st.,,,http://stops.lt/2213,,,,,2213
25.2770434713444,54.635948540988,8088,Paštas st.,,,http://stops.lt/2649,,,,,2649
25.3928558065668,54.7047626051916,8089,Kalno st.,,,http://stops.lt/2330,,,,,2330
25.1772622531725,54.6383569287501,8090,Lentvario st.,,,http://stops.lt/2905,,,,,2905
25.3535608402498,54.666887355436,8091,Garsioji st.,,,http://stops.lt/1405,,,,,1405
25.2438726205878,54.6218624799798,8092,Ąžuolijai,,,http://stops.lt/2704,,,,,2704
25.3070089705479,54.6664370457751,8093,Dunojaus st.,,,http://stops.lt/1309,,,,,1309
25.2835302657354,54.703080726108,8094,Žalgirio st.,,,http://stops.lt/0705,,,,,0705
25.2830246640274,54.7038992954625,8095,Žalgirio st.,,,http://stops.lt/0706,,,,,0706
